PEL,500302
IDEA,532822
RELIANCE,500325
HDFCBANK,500180
INFY,500209
TATASTEEL,500470
ADANIENT,512599
TECHM,532755
ICICIBANK,532174
TATAPOWER,500400
BAJFINANCE,500034
SBIN,500112
INDUSINDBK,532187
MAXHEALTH,543220
SAIL,500113
ACC,500410
WIPRO,507685
CANBK,532483
JUBLFOOD,533155
BANKBARODA,532134
TATAMOTORS,500570
KALPATPOWR,522287
SUZLON,532667
TCS,532540
ITC,500875
TTML,532371
BAJAJFINSV,532978
KOTAKBANK,500247
PNB,532461
APLAPOLLO,533758
ONMOBILE,532944
HAL,541154
HINDALCO,500440
HDFC,500010
AXISBANK,532215
IBULHSGFIN,535789
INVENTURE,533506
ADANIPORTS,532921
MAPMYINDIA,543425
YESBANK,532648
EICHERMOT,505200
IRB,532947
SUNPHARMA,524715
HCLTECH,532281
APOLLOHOSP,508869
NTPC,532555
ASHOKLEY,500477
LT,500510
GMRINFRA,532754
PGHH,500459
DIXON,540699
ZEEL,505537
JINDALSTEL,532286
RPOWER,532939
CADILAHC,532321
INDHOTEL,500850
BHEL,500103
MINDTREE,532819
HINDUNILVR,500696
DEEP,541778
LICHSGFIN,500253
UNIONBANK,532477
ALKYLAMINE,506767
NATIONALUM,532234
DHANVARSHA,540268
MARUTI,532500
TV18BRDCST,532800
HBLPOWER,517271
COFORGE,532541
AUBANK,540611
TATAELXSI,500408
IEX,540750
CCL,519600
BOMDYEING,500020
BPCL,500547
KARURVYSYA,590003
DEEPAKNI,506401
PAYTM,543396
NYKAA,543384
VEDL,500295
DALBHARAT,542216
NMDC,526371
RBLBANK,540065
ASIANPAINT,500820
CHOLAFIN,511243
VISHWARAJ,542852
GODREJPROP,533150
IRCTC,542830
CANFINHOME,511196
BEL,500049
GRAPHITE,509488
POLICYBZR,543390
DLF,532868
BALAMINES,530999
SIGACHI,543389
VIPIND,507880
ZOMATO,543320
INDIANB,532814
JSWSTEEL,500228
RELINFRA,500390
IBREALEST,532832
NAUKRI,532777
TITAN,500114
JPPOWER,532627
BANKBEES,590106
HFCL,500183
M&MFIN,532720
LTI,540005
DELTACORP,532848
COALINDIA,533278
POONAWALLA,524000
TATACHEM,500770
GRWRHITECH,500655
HAPPSTMNDS,543227
ADANIGREEN,541450
KPITTECH,542651
BALRAMCHIN,500038
PIIND,523642
IOC,530965
BANKINDIA,532149
APOLLOTRI,538566
MMTC,513377
INDIAMART,542726
AGSTRA,543451
APTUS,543335
ABFRL,535755
ALOKTEXT,521070
KRSNAA,543328
NAVINFLUOR,532504
DRREDDY,500124
DEVYANI,543330
APOLLOTYRE,500877
DISHTV,532839
IDFCFIRSTB,539437
PVR,532689
CHAMBLFERT,500085
LLOYDSTEEL,539992
ONGC,500312
SPANDANA,542759
FSL,532809
PERSISTENT,533179
ULTRACEMCO,532538
TRIDENT,521064
LANCER,539841
AMBUJACEM,500425
SHALPRO,512499
GODREJCP,532424
AARNAV,539562
SPARC,532872
TVSMOTOR,532343
SONACOMS,543300
JINDALPOLY,500227
BIOCON,532523
FORBESCO,502865
DMART,540376
NLCINDIA,513683
BHARTIARTL,532454
CUMMINSIND,500480
IDBI,500116
SRF,503806
FEDERALBNK,500469
WARDINMOBI,538970
BANDHANBNK,541153
IIFL,532636
SUPRIYA,543434
GTLINFRA,532775
TATAMTRDVR,570001
GPIL,532734
HINDPETRO,500104
ANGELONE,543235
ACE,532762
RIIL,523445
MCX,534091
LATENTVIEW,543398
VIRINCHI,532372
M&M,500520
HDFCAMC,541729
TATACOFFEE,532301
LALPATHLAB,539524
PIDILITIND,500331
